,Description,Date,Age,Miles,eq_100m,Minutes,Seconds
35, Durham Track with Andy,1994-05-01,22,0.249,0.16141255328331353,0.0,9.0
31, St Andrews or Glasgow,1991-05-01,19,0.249,0.16141255328331353,0.0,9.0
40, Track meet 400m,1998-06-10,26,0.249,0.16141255328331353,0.0,9.0
62, Track meet 400m,1999-06-09,27,0.249,0.16141255328331353,0.0,9.0
47, Track meet 400m,1998-07-08,26,0.249,0.16307660022437862,0.0,9.0
45, Track meet 200m,1998-06-24,26,0.124,0.1699091918845245,0.0,10.0
39, Track meet 200m,1998-06-10,26,0.124,0.1736849517041806,0.0,10.0
69, Track meet 200m,1999-07-07,27,0.124,0.1736849517041806,0.0,10.0
46, Track meet 800m,1998-06-24,26,0.497,0.177479517556352,0.0,10.0
32, Track meet mile  Glasgow,1991-05-01,19,1.0,0.18054838104046209,0.0,10.0
72, Mapco Mile,1999-07-21,28,1.0,0.18091911693582238,0.0,10.0
61, Presbyterian 5k,1999-05-22,27,3.108,0.18243539436135434,0.0,10.0
29, St Andrews 1500m,1991-04-01,19,0.932,0.18302392354215424,0.0,10.0
41, Track meet 800m,1998-06-10,26,0.497,0.18373430231604723,0.0,11.0
33, Track meet 5k  Glasgow,1991-05-01,19,3.108,0.18517137808003095,0.0,11.0
49, Mapco Mile,1998-07-22,27,1.0,0.18610941947086646,0.0,11.0
48, Track meet mile,1998-07-08,26,1.0,0.18722162715694735,0.0,11.0
64, Track meet mile,1999-06-09,27,1.0,0.19092898611055026,0.0,11.0
99, Flint Hills Mile,2007-06-28,35,1.0,0.19129972200591056,0.0,11.0
63, Track meet 800m,1999-06-09,27,0.497,0.19155278326566624,0.0,11.0
123, Golden Mile,2009-07-25,38,1.0,0.19167045790127082,0.0,11.0
42, Track meet mile,1998-06-10,26,1.0,0.19278266558735171,0.0,11.0
140, Valkyeries,2010-07-17,38,4.972,0.19335521800989497,0.0,11.0
139, Flint Hills Mile,2010-07-01,38,1.0,0.1938948732734326,0.0,11.0
117, Midnight Sun Run,2009-06-19,37,6.215,0.19438673412507584,0.0,11.0
141, Golden Mile,2010-07-24,39,1.0,0.19463634506415314,0.0,11.0
119, Flint Hills Mile,2009-07-02,37,1.0,0.19463634506415314,0.0,11.0
122, Fast mile during run around Patty center,2009-09-19,38,1.0,0.19537781685487374,0.0,11.0
58, Alaskaland Run for Youth,1999-04-24,27,3.108,0.19699082774471374,0.0,11.0
56, Miller Hill / Yankovich Cookie Challenge,1998-10-10,27,6.5,0.19708567168619842,0.0,11.0
106, Yankovitch loop run SUPER FAST  HILLY,2007-08-26,36,5.25,0.19718715591944844,0.0,11.0
70, Track meet mile,1999-07-07,27,1.0,0.19723149633167522,0.0,11.0
98, Midnight Sun Run,2007-06-23,35,6.215,0.19757677581797015,0.0,11.0
163, Golden Mile,2013-07-20,42,1.0,0.19834370401775608,0.0,11.0
53, GCI 5k,1998-08-15,27,3.108,0.19841353927842556,0.0,11.0
105, Morning run near Pioneer Park,2007-08-05,36,5.0,0.1992117437396813,0.0,11.0
86, LRRL Beaumont Markfield,2005-01-23,33,6.215,0.19937760580589436,0.0,11.0
87, LRRL Barrow ,2005-01-30,33,6.0,0.20085111118351767,0.0,12.0
168, Flint Hills Mile,2014-05-26,42,1.0,0.2013095911806384,0.0,12.0
104, GCI 8k,2007-08-04,36,4.972,0.20167932400557517,0.0,12.0
136, Beet Beethoven,2010-04-10,38,3.108,0.2021344771358257,0.0,12.0
22, thringstone,1988-08-07,17,4.5,0.2021982335107033,0.0,12.0
97, Chena River Run,2007-05-05,35,3.108,0.2022439164845728,0.0,12.0
44, Midnight Sun Run,1998-06-20,26,6.215,0.20236183835731159,0.0,12.0
162, Flint Hills Mile,2013-06-27,41,1.0,0.2024217988667193,0.0,12.0
135, Spring Fling,2010-04-03,38,6.215,0.20287636121100422,0.0,12.0
90, Rushcliffe Country Park,2005-08-05,34,4.0,0.20360169074279375,0.0,12.0
153, Golden Mile,2012-07-21,41,1.0,0.20390474244816045,0.0,12.0
112, Run Lu Lu Run,2008-08-17,37,6.215,0.20390540691838951,0.0,12.0
81, Livingstone Relays,2004-04-11,32,3.0,0.20392981006928057,0.0,12.0
102, Training for Flint Hills mile?,2007-07-10,35,0.746,0.2041330086269962,0.0,12.0
60, Law Days 10k,1999-05-01,27,6.215,0.20478009576966696,0.0,12.0
96, Track time trial 3000m,2007-05-01,35,1.865,0.20495575696923876,0.0,12.0
59, Alaskaland Couch Potato Challenge,1999-04-25,27,3.108,0.20497990020324935,0.0,12.0
17, Leicester,1987-09-06,16,5.0,0.20520503361020154,0.0,12.0
